Celltype,cellcount,Genotype,Brain,Region,imagename,,Stage
YFP-Dach1-high,12,SST-cre,BT3855,VCx,MAX_B3855_VCx_1,,P5
YFP-Dach1-low,13,SST-cre,BT3855,VCx,MAX_B3855_VCx_1,,P5
YFP-Dach1-high,13,SST-cre,BT3855,VCx,MAX_B3855_VCx_2,,P5
YFP-Dach1-low,12,SST-cre,BT3855,VCx,MAX_B3855_VCx_2,,P5
YFP-Dach1-high,11,SST-cre,BT3855,VCx,MAX_B3855_VCx_3,,P5
YFP-Dach1-low,18,SST-cre,BT3855,VCx,MAX_B3855_VCx_3,,P5
YFP-Dach1-high,16,SST-cre,BT3855,VCx,MAX_B3855_VCx_4,,P5
YFP-Dach1-low,16,SST-cre,BT3855,VCx,MAX_B3855_VCx_4,,P5
YFP-Dach1-high,18,SST-cre,BT3855,VCx,MAX_B3855_VCx_5,,P5
YFP-Dach1-high,14,SST-cre,BT3855,VCx,MAX_B3855_VCx_5,,P5
