Sample	dataset_id	n_cells	Int
DiBella_all	DS6	3922	N
E18_10X	DS16	7757	N
E18_Lippi	DS18	2898	Y
E18_Cortex_Mayer	DS7.1	4545	N
P10_Cortex_Mayer	DS7.2	1234	N
P10_ALM_Allaway	DS12.1	2359	N
P10_V1_Allaway	DS12.2	2313	N
E16_Lim4	DS21	6707	Y
P1_Lim3	DS22	4965	Y
P1_Lim5	DS23	1884	Y
P5_WT1_Lim1	DS19	7089	Y
P5_WT23_Lim2	DS20	7535	Y
P1_new_DS24	DS24	12499	Y
