"UMAP_1","UMAP_2","sample","major_cluster_label_trained_with_all","cluster_label_trained_with_all","subclass_bootstrapping_probability","subclass_name","Subclass"
-1.42332571881689,-5.03273234641212,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
2.60230678183161,3.26825656617028,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
7.01398938757502,-0.0578372565473892,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
7.03947204214655,0.0952366484884641,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
6.07575505835139,2.22099389756066,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.49896305662715,-1.52928791319984,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-0.655375243600974,-6.69012437140602,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.11745422941767,-0.846013703700481,"P5_new","Non-Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-6.30798155206121,1.38229217255455,"P5_new","Non-Martinotti","Non-Martinotti_4",0.62,"052 Pvalb Gaba","052 Pvalb Gaba"
-0.615000726160178,1.4582741471563,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-0.691764177259574,-5.87288651740211,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-0.974811018880973,-1.98651299750465,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.44170385735906,-2.18576584136146,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
-0.567382456239829,-5.58157143866676,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-0.597986580309043,-5.76667342459815,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.0881205214826,3.69458117211205,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-0.288716257986197,0.0149226921234749,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-5.50292545693792,0.196233181897225,"P5_new","Non-Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-5.96910148995794,0.724039218071522,"P5_new","Martinotti","Martinotti_1",0.68,"053 Sst Gaba","053 Sst Gaba"
6.84186166388117,0.767641744259419,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-5.25950008767522,-2.39602265631813,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"053 Sst Gaba","053 Sst Gaba"
9.78406661612116,-1.06607589995521,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-3.43198210137762,-4.15224585806983,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.54676622015559,-1.70838187014717,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
6.38670486075007,-0.406727769729076,"P5_new","LRP","LRP_1",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-5.78969198602117,1.49639155590874,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"053 Sst Gaba","053 Sst Gaba"
2.32060092550837,2.05381252491814,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-2.05711823838628,2.05817594254357,"P5_new","Non-Martinotti","Martinotti_2",0.58,"053 Sst Gaba","053 Sst Gaba"
-5.41991430657781,-3.24840054785865,"P5_new","Non-Martinotti","Non-Martinotti_5",0.91,"053 Sst Gaba","053 Sst Gaba"
-3.88630920785345,-2.87633548056739,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
1.97001427275263,1.17964043343407,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
9.09934371573054,1.24497356140954,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.7458273754748,1.62341155732018,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-0.604976417001853,-5.5929235008921,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-4.69169336694158,1.16667964184624,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"052 Pvalb Gaba","052 Pvalb Gaba"
0.186944554123512,3.96269216263634,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-2.45517474549688,3.10459341729027,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-1.86458665269292,-0.89369688307899,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.84222799676336,-2.97932658469337,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
3.11790031057917,-1.76795671260017,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-6.0040083541242,1.88222648823601,"P5_new","Non-Martinotti","Non-Martinotti_4",0.8,"052 Pvalb Gaba","052 Pvalb Gaba"
0.289416937652459,4.27651133263451,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-1.15775126355566,-3.63318262374061,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-0.0891418768731448,0.873703739288869,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
8.78189319235407,1.14948131764275,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-1.54648524659551,2.67072810852868,"P5_new","Non-Martinotti","Non-Martinotti_1",0.66,"053 Sst Gaba","053 Sst Gaba"
11.331908641878,0.104079124200763,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
9.52281325918757,0.665919086578908,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
2.63543456656062,1.39356960976464,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
-3.88321930306829,2.27551712715966,"P5_new","Non-Martinotti","Non-Martinotti_3",1,"052 Pvalb Gaba","052 Pvalb Gaba"
3.04929965597712,-3.78014240538734,"P5_new","Martinotti","Martinotti_3",1,"053 Sst Gaba","053 Sst Gaba"
-4.34209877389348,-2.22249684607643,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
10.711508213106,0.983539244774403,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-2.13263946908391,1.51026870930535,"P5_new","Non-Martinotti","Non-Martinotti_1",0.98,"053 Sst Gaba","053 Sst Gaba"
-1.61028725045598,1.680059930924,"P5_new","Martinotti","Martinotti_2",1,"053 Sst Gaba","053 Sst Gaba"
10.3763450966509,-1.5302866486277,"P5_new","LRP","LRP_2",1,"056 Sst Chodl Gaba","056 Sst Chodl Gaba"
-1.77359181779302,4.23006977761132,"P5_new","Non-Martinotti","Non-Martinotti_1",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-1.32079595464147,0.606705299261632,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-6.02353340524114,1.79276706898552,"P5_new","Non-Martinotti","Non-Martinotti_4",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-1.41605514424718,5.54170813286644,"P5_new","Non-Martinotti","Non-Martinotti_1",0.78,"052 Pvalb Gaba","052 Pvalb Gaba"
-5.59670454400457,-1.56571648394722,"P5_new","Non-Martinotti","Non-Martinotti_5",1,"052 Pvalb Gaba","052 Pvalb Gaba"
-1.88751751321233,-1.18970642363685,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.55887442963994,-6.66718373572486,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
-2.04643613236822,2.06842734539849,"P5_new","Non-Martinotti","Martinotti_2",0.98,"052 Pvalb Gaba","052 Pvalb Gaba"
-5.43954712289251,-3.2488757160868,"P5_new","Martinotti","Martinotti_1",1,"053 Sst Gaba","053 Sst Gaba"
