"DC1","DC2","Pseudotime","time_point","clusters"
0.00674567785745564,0.00206568343882629,0.0703410011134005,"E16","LRP2.1"
0.000714278323396457,0.00905810516266374,0.0232373595651744,"E16","LRP2.1"
-0.00208815569126794,0.00806873101854227,0.0613833511103224,"E16","LRP2.1"
-0.00181650455702792,0.00971533171682841,0.0531947953453076,"E16","LRP2.1"
0.00186562922916644,0.00873876581210484,0.0125807362921264,"E16","LRP2.1"
0.00236937757463575,0.0068371596289162,0.017840797945348,"E16","LRP2.1"
0.00228095975963006,0.00909589128474568,0.0177371582744504,"E16","LRP2.1"
-0.0065512095686865,0.0097883739611225,0.112857071121583,"E16","LRP2.1"
0.00526251318093877,0.00527776414434892,0.0498781677361148,"E16","LRP2.1"
0.00280068298272527,0.00878251709197382,0.0269405428027617,"E16","LRP2.1"
0.00390843547651772,0.00659771681991928,0.0306776887974906,"E16","LRP2.1"
-0.00067498170905781,0.00910346915894339,0.0519213645329551,"E16","LRP2.1"
-0.00137065402463699,0.0110998211967711,0.0498861788839629,"E16","LRP2.1"
0.00568898788667282,0.00323698105949896,0.0547640125454031,"E16","LRP2.1"
-0.00088291371842222,0.0101769489155327,0.041575883137297,"E16","LRP2.1"
-0.0040202201533675,0.0107911402504486,0.0811552694137636,"E16","LRP2.1"
0.00887178446988372,-0.00712041444180254,0.120939616274865,"E16","LRP2.1"
0.00775395852019337,-0.000426487615532967,0.0860920281570381,"E16","LRP1.0"
0.0054429965430896,0.00524622631274917,0.0542521865309802,"E16","LRP2.1"
0.00375022792378778,0.00714967820601419,0.0306916402750745,"E16","LRP2.1"
-0.00626347778104366,0.0111965031002927,0.111378911264137,"E16","LRP2.1"
0.000668094179844855,0.00975662965854695,0.0200646960626788,"E16","LRP2.1"
-0.00155223437097466,0.0116095837420048,0.054816725338659,"E16","LRP2.1"
0.000187634924603506,0.0111374529634824,0.0322908979096914,"E16","LRP2.1"
-0.00676603049308308,0.00812280204588446,0.114043802674159,"E16","LRP2.1"
0.00132372964425421,0.0101234760088078,0.025422552632336,"E16","LRP2.1"
0.00755317878249345,0.00157145871387495,0.0842898152852531,"E16","LRP2.1"
0.00461597762521563,0.00652166275015485,0.0448360078447742,"E16","LRP2.1"
0.00211950024673417,0.00327777656955548,0.0462571566720269,"E16","LRP2.1"
0.00200513764629504,0.00913770653060133,0.0242700044476741,"E16","LRP2.1"
0.0110440530729768,-0.00725984988645126,0.138663530701805,"E16","LRP1.0"
-0.0021605737786627,0.00997197383763921,0.0577505720893948,"E16","LRP2.1"
0.0105586381549225,-0.00593511379818949,0.129298830741314,"E16","LRP1.0"
-0.0012841802890311,0.0102425720715386,0.0453920728754379,"E16","LRP2.1"
-0.00275053958037346,0.0118431767479979,0.069489401135504,"E16","LRP2.1"
-0.00262236581148359,0.0111350460851709,0.0665566462105982,"E16","LRP2.1"
0.00364155165931108,0.00633516281242453,0.0243203211712526,"E16","LRP2.1"
0.00012269063239785,0.00888964784059315,0.0281930329661546,"E16","LRP2.1"
0.0014849301814815,0.00748839944003957,0.0221233683355228,"E16","LRP2.1"
0.00408571558812812,0.00602184928011072,0.029015292996525,"E16","LRP2.1"
0.00256105029650924,0.00679524544507215,0.0131588876485995,"E16","LRP2.1"
0.00288672468091109,0.0023366794823857,0.0479257198514875,"E16","LRP2.1"
0.00130017749038413,0.00799524355873737,0.0123131007723577,"E16","LRP2.1"
0.00289902822038634,0.00846607717412394,0.0202364918756025,"E16","LRP2.1"
-0.000210004119887766,0.0101378805990113,0.0328548552933293,"E16","LRP2.1"
0.00389533639870404,0.00681263236022501,0.0358189077306455,"E16","LRP1.0"
0.00426698716642614,0.00783424216930236,0.0583184748795137,"E16","LRP2.1"
0.00510429150901045,0.00538278165572632,0.0478945069017345,"E16","LRP1.0"
0.00036047144507229,0.00999950914880003,0.0375894359026757,"E16","LRP2.1"
