"UMAP_1","UMAP_2","metadata"
3.29823851973948,-2.78231926912175,"non-Martinotti"
3.30010462195811,-3.38404747003422,"non-Martinotti"
-0.235193054962782,-4.67353888505802,"non-Martinotti"
-9.47625422089162,-0.0405469825278309,"non-Martinotti"
-5.62800669281545,0.499952384292028,"non-Martinotti"
3.79691625029978,-3.78310962671147,"non-Martinotti"
1.03838110358653,-3.39775439256535,"non-Martinotti"
6.3476870098823,-4.89651461595402,"non-Martinotti"
4.58073544890818,-1.98961206430302,"non-Martinotti"
-0.48566233723226,-4.09829970353947,"non-Martinotti"
-1.31123649685445,-0.348048767984965,"Martinotti_Other"
1.22486782462535,-3.14544459337101,"non-Martinotti"
7.5071108380073,2.61971882825985,"non-Martinotti"
1.62921822459635,-3.25788708680973,"non-Martinotti"
-4.02131175606313,1.54147581106319,"Martinotti_Other"
-5.71598553268972,2.43578199392452,"Martinotti_Other"
7.22992873580393,2.82021073347225,"non-Martinotti"
7.02709222228465,-3.91947504037724,"non-Martinotti"
4.14681888015208,-5.28106280320988,"non-Martinotti"
5.09877896697459,-5.34077044481144,"non-Martinotti"
6.35863423736033,1.08970026022091,"non-Martinotti"
5.81254601867137,2.93760541921749,"non-Martinotti"
5.46389413268504,0.671642580090901,"non-Martinotti"
4.15182948501048,-1.67688437455998,"non-Martinotti"
-3.27189445107046,1.80318228250637,"Martinotti_Other"
3.65746546180186,-2.84455247873173,"non-Martinotti"
3.64151430518565,-2.65617629045353,"non-Martinotti"
-0.712488587785391,0.374763407765767,"Martinotti_Other"
1.51890409381327,-5.45197268480168,"non-Martinotti"
-1.03144156544271,-3.30179258340702,"non-Martinotti"
-2.98316621391836,-0.113429076017001,"non-Martinotti"
5.94322562606272,-3.41400476449833,"non-Martinotti"
-4.78869652359548,0.755454876481435,"Martinotti_Other"
1.19905531794963,-1.26339324468479,"Martinotti_Other"
-3.98565363495412,1.77224401479854,"Martinotti_Other"
-2.8840913733727,0.582305350362203,"Martinotti_Other"
0.927433435034128,-4.85256787294255,"non-Martinotti"
-3.12585925667348,2.22173551565304,"Martinotti_Other"
0.0698541292661153,-7.93908473008976,"non-Martinotti"
-7.09684156982961,-0.142074502051928,"Martinotti_Other"
2.60407710463938,-1.45491357797489,"Martinotti_Other"
-4.37324261276784,1.51137272363796,"Martinotti_Other"
0.363849345754953,6.33533171659603,"Martinotti_Other"
-4.33808302490774,4.28048447614803,"Martinotti_0215 Sst Gaba_2"
2.06565094382701,-5.72518797868595,"non-Martinotti"
