"UMAP_1","UMAP_2","Sample_Group","Major","Minor"
1.71434092910227,6.97913054472103,"Base Atlas","Martinotti","MC1"
3.9390594998115,-6.13897582048283,"Base Atlas","Non-Martinotti","nMC2"
-3.14588307945791,-2.48888274186955,"Base Atlas","LRP","HIn2"
-4.78869652359548,0.755454876481435,"Base Atlas","Martinotti","MC3"
1.19905531794963,-1.26339324468479,"Base Atlas","Martinotti","MC2"
-10.9279086550957,1.98263112550869,"Base Atlas","LRP","LRP2"
-3.98565363495412,1.77224401479854,"Base Atlas","Martinotti","MC2"
-2.8840913733727,0.582305350362203,"Base Atlas","Martinotti","MC2"
-1.30994641392293,-4.3108465289484,"Base Atlas","Non-Martinotti","nMC1"
0.927433435034128,-4.85256787294255,"Base Atlas","Non-Martinotti","nMC1"
4.24353623778758,-1.94348438733921,"Base Atlas","Non-Martinotti","nMC3"
0.371621553015085,6.58414010053768,"Base Atlas","Martinotti","MC1"
-3.12585925667348,2.22173551565304,"Base Atlas","Martinotti","MC2"
0.0698541292661153,-7.93908473008976,"Base Atlas","Non-Martinotti","nMC1"
-7.09684156982961,-0.142074502051928,"Base Atlas","Martinotti","MC3"
-0.510770048785833,2.97119072919979,"Base Atlas","Martinotti","MC2"
4.92773557097849,4.00179294592037,"Base Atlas","Non-Martinotti","nMC5"
2.60407710463938,-1.45491357797489,"Base Atlas","Martinotti","MC2"
2.37808990867076,-1.89377625936375,"Base Atlas","Non-Martinotti","nMC2"
1.17610156924662,-4.78420992845402,"Base Atlas","Non-Martinotti","nMC1"
-4.37324261276784,1.51137272363796,"Base Atlas","Martinotti","MC3"
6.51734137923655,0.859173753320119,"Base Atlas","Non-Martinotti","nMC3"
0.363849345754953,6.33533171659603,"Base Atlas","Martinotti","MC3"
-10.8907105883843,1.55351428037777,"Base Atlas","LRP","LRP2"
-3.8755361994988,4.58620909696712,"Base Atlas","Non-Martinotti","nMC4"
-0.111727952796844,-6.16654273027287,"Base Atlas","LRP","HIn2"
-11.0143992861992,1.58125797754421,"Base Atlas","LRP","HIn2"
2.55536127479014,-6.01357718461857,"Base Atlas","Non-Martinotti","nMC2"
-4.33808302490774,4.28048447614803,"Base Atlas","Martinotti","MC3"
0.931175355028482,-2.0762388324152,"Base Atlas","Non-Martinotti","nMC1"
2.06565094382701,-5.72518797868595,"Base Atlas","Non-Martinotti","nMC2"
5.78103614242015,3.33659700399532,"Base Atlas","Non-Martinotti","nMC5"
-0.164535056639341,-2.67545839303837,"Base Atlas","Non-Martinotti","nMC1"
-10.4510505160576,1.97981623655452,"Base Atlas","LRP","LRP2"
0.254495952438685,-2.18859907144413,"Base Atlas","Non-Martinotti","nMC1"
1.0585458317512,2.24531654363765,"Base Atlas","Martinotti","MC3"
0.990669135164591,-1.97436305040226,"Base Atlas","Non-Martinotti","nMC1"
-0.277992125440267,-1.82775362485752,"Base Atlas","Non-Martinotti","nMC1"
-3.62001657097402,-1.096549353541,"Base Atlas","Non-Martinotti","nMC4"
-7.28758692352834,0.40542955046787,"Base Atlas","LRP","HIn1"
3.72224498183665,-5.61432238572941,"Base Atlas","Non-Martinotti","nMC2"
-1.81241285412374,0.9706024909605,"Base Atlas","Martinotti","MC2"
0.508152309965464,5.03154782301082,"Base Atlas","Martinotti","MC3"
1.27386033923564,-5.13946934694157,"Base Atlas","Non-Martinotti","nMC2"
5.17788672835765,3.83502367979183,"Base Atlas","Martinotti","MC1"
2.55153704078135,-2.1828016852747,"Base Atlas","Non-Martinotti","nMC1"
5.68463492782054,-4.71398468965397,"Base Atlas","Non-Martinotti","nMC4"
1.58076703936991,4.18244198804989,"Base Atlas","Non-Martinotti","nMC3"
-1.4889680108315,-1.71249433511601,"Base Atlas","Martinotti","MC2"
-0.603477235723165,-3.10813613885746,"Base Atlas","Non-Martinotti","nMC1"
-4.47284960358205,4.18132571226253,"Base Atlas","Martinotti","MC3"
3.5863516369575,5.36819056516781,"Base Atlas","Non-Martinotti","nMC5"
1.55949795634684,-5.25092621797428,"Base Atlas","Non-Martinotti","nMC1"
4.56468415648875,-2.72541352266178,"Base Atlas","Non-Martinotti","nMC3"
0.86911929042277,-3.40855093950138,"Base Atlas","Non-Martinotti","nMC1"
-1.28815769760671,-0.127544469178775,"Base Atlas","Martinotti","MC2"
0.682161335062357,-5.70669480317936,"Base Atlas","Non-Martinotti","nMC1"
