"","brain_section_label","x","y","supertype_label"
"319647734769200887608178238840247418880","Zhuang-ABCA-2.027",3.1247514323707,6.35605115114238,"OT D3 Folh1 Gaba_3"
"327889021349531555699962270783195054080","Zhuang-ABCA-2.027",2.96802073391301,6.45740900138248,"Endo NN_1"
"328000298884314360417916229791837585408","Zhuang-ABCA-2.027",3.09988969372266,6.38907588248549,"OT D3 Folh1 Gaba_3"
"37477558240701567694670544189637263360","Zhuang-ABCA-2.027",3.05252694679244,6.34287402574188,"OT D3 Folh1 Gaba_3"
"37804123340358875811670231591143079936","Zhuang-ABCA-2.027",3.07011075396569,6.32821095287927,"OT D3 Folh1 Gaba_3"
"39357425597903791250751419068929015808","Zhuang-ABCA-2.027",3.06682632661078,6.38606846270091,"OT D3 Folh1 Gaba_3"
"40692414727654754540791901111762026496","Zhuang-ABCA-2.027",3.08272126596391,6.330766430071,"OT D3 Folh1 Gaba_3"
"49306637311278482551662870089628123136","Zhuang-ABCA-2.027",2.94688330633089,6.31207293396179,"Microglia NN_1"
"5020396541254877488610193486536245248","Zhuang-ABCA-2.027",3.05230868908828,6.36137367259959,"OT D3 Folh1 Gaba_3"
"5513598353410275396573472759283187712","Zhuang-ABCA-2.027",3.0759051032933,6.33332758649925,"OT D3 Folh1 Gaba_3"
"66085363379530319125983344897057357824","Zhuang-ABCA-2.027",3.06741659199476,6.30017775106817,"STR D1 Gaba_6"
"76635209220342415217403684983335288832","Zhuang-ABCA-2.027",3.04596927548017,6.34271387366566,"MOL NN_4"
"8297268480906636813460972846385725440","Zhuang-ABCA-2.027",3.02634794777246,6.35010048399436,"OT D3 Folh1 Gaba_3"
"87586712867650468406014294626268086272","Zhuang-ABCA-2.027",3.10157767254033,6.36004452135929,"OT D3 Folh1 Gaba_3"
"111327932331058859107680576641857224704","Zhuang-ABCA-2.027",3.14534572726135,6.38762781934165,"OT D3 Folh1 Gaba_3"
"116504619185072284842552089418997432320","Zhuang-ABCA-2.027",3.26217714834475,6.36534049862923,"Astro-TE NN_3"
"125187524053005869895869385372675866624","Zhuang-ABCA-2.027",3.2039870689335,6.31839722169701,"STR D1 Sema5a Gaba_2"
"135348314878643337629268062043283390464","Zhuang-ABCA-2.027",3.1622307502848,6.38728467843685,"OT D3 Folh1 Gaba_3"
"143747795808959000015683850585868599296","Zhuang-ABCA-2.027",3.15266134402851,6.38913903968522,"OT D3 Folh1 Gaba_3"
"146240512253619239852755640012528156672","Zhuang-ABCA-2.027",3.15903951256967,6.3711721144634,"OT D3 Folh1 Gaba_3"
"147920164423024848444511292546938306560","Zhuang-ABCA-2.027",3.26282437553974,6.4501766344724,"Endo NN_1"
"159649561720684593774509726599689011200","Zhuang-ABCA-2.027",3.16730212107863,6.43510521816467,"Peri NN_1"
"163774904290206244253824151065353781248","Zhuang-ABCA-2.027",3.17487698893227,6.39654231653898,"Endo NN_1"
"172859725538590197465222502716796829696","Zhuang-ABCA-2.027",3.18372383636402,6.44021415809424,"Endo NN_1"
"173891168240687262139528695552178913280","Zhuang-ABCA-2.027",3.15265574790532,6.3515084170747,"OT D3 Folh1 Gaba_3"
"197858342621843478756404121077303738368","Zhuang-ABCA-2.027",3.21518841732145,6.3289440225262,"Astro-TE NN_3"
"199558659769157948889894982072106221568","Zhuang-ABCA-2.027",3.19606185606715,6.45749675605718,"Endo NN_1"
"207209590320220952306545421660039675904","Zhuang-ABCA-2.027",3.16992510955721,6.45161562928549,"Astro-TE NN_3"
"215143274975801856530834856104628846592","Zhuang-ABCA-2.027",3.1717914223374,6.36915949343329,"STR D1 Sema5a Gaba_3"
"229067623574155466299137240542423810048","Zhuang-ABCA-2.027",3.12270398158678,6.34500997414229,"OT D3 Folh1 Gaba_3"
"248756884307186601060398864056157470720","Zhuang-ABCA-2.027",3.15342721437498,6.38008801767063,"OT D3 Folh1 Gaba_3"
"254918417408903609056609278330595704832","Zhuang-ABCA-2.027",3.27544250251701,6.46147681089722,"Astro-TE NN_3"
"2644734404019915171389522987525865472","Zhuang-ABCA-2.027",3.29182687252893,6.40653776184212,"STR D1 Gaba_6"
"287958261803677797654546200399315992576","Zhuang-ABCA-2.027",3.10894061130396,6.42431703705009,"OT D3 Folh1 Gaba_3"
"29669495183877995379504245347243261952","Zhuang-ABCA-2.027",3.25254163521336,6.36851130889123,"STR D2 Gaba_2"
"327696935847631794778694609760478560256","Zhuang-ABCA-2.027",3.30218264582284,6.38484514102339,"STR D1 Gaba_6"
"328970081408692062074459014469987074048","Zhuang-ABCA-2.027",3.14541972892166,6.39693760069163,"OT D3 Folh1 Gaba_3"
"44024431653686448755313110884502470656","Zhuang-ABCA-2.027",3.15769414052753,6.34741637969545,"OT D3 Folh1 Gaba_3"
"44832141077828930452157764310375858176","Zhuang-ABCA-2.027",3.20034826948293,6.42848084221495,"Endo NN_1"
